"id_job","duration","required_work_experience","job_type","salary_period","salary","position_name","latitude","longitude","applied"
"9037ea5f61cbgac6eg48c5g2a3dg00cd6d86","PERMANENT","1-2 Years","FULL_TIME","","","Cashier & counter person",40.678176879882812,-73.944160461425781,35
"98b8778246b4g8972g4780g0c93gd217057d","PERMANENT","1-2 Years","FULL_TIME","","","Student advocate",40.844783782958984,-73.864830017089844,35
"9ecca7537f6bg95ecg402bg0a03gc55e9a2d","PERMANENT","1-2 Years","PART_TIME","","","Marketing assistant",40.780235290527344,-73.984634399414062,35
"014681c9b6cbgb6dfg439fgcc8eg3a1ccaf9","","No","NONE","","","Cook",40.742218017578125,-73.984489440917969,35
"4554e1030c10gaec7g432bg5bbag88bd69be","PERMANENT","No","PART_TIME","","","Military police",40.7684326171875,-73.5251235961914,35
"d23b7ae77842g85fbg49f6g4d41g1dd05513","","No","NONE","","","Cook",40.73883056640625,-73.981536865234375,35
"fe17bae9bfe8g9422g4ca7g3999ge28a8df3","PERMANENT","1-2 Years","FULL_TIME","","","Mandarin Speaking Call Center Rep",40.802310943603516,-73.919540405273438,35
"099332908829ga175g46dcg73e3gc45aa4f4","","1-2 Years","NONE","HOUR",14,"Certified Nursing assistant",40.820358276367188,-73.8572998046875,35
"a1f301369fa5gaad4g4d48gb6e8g4d9e05e6","PERMANENT","+3 Years","PART_TIME","","","Manager",40.806755065917969,-74.185417175292969,35
"4ed1c52b6514gadd6g45adgbf1eg2a4b266c","PERMANENT","No","FULL_TIME","","","Data entry",40.689228057861328,-73.983589172363281,34
"7dc4bda70dadga6a0g4caag77f6gf16e37eb","TEMPORAL","1-2 Years","FULL_TIME","","","Stock associate",40.977138519287109,-73.8292465209961,34
"a016019eaea1g997dg42d7g6f08gdb0eb2af","PERMANENT","1-2 Years","FULL_TIME","","","File clerk",40.752597808837891,-73.992813110351562,34
"c168bda7e09cgabfbg4051ga330gb2385629","","1-2 Years","NONE","","","General office work",40.764358520507812,-73.9234619140625,34
"df0449e208bcgacc9g48cbgc118g2952312f","PERMANENT","2-3 Years","PART_TIME","","","Server & wait staff",40.781173706054688,-73.9764633178711,34
"e6704fbf9b7bg9555g4d8cgf277g552b0073","PERMANENT","1-2 Years","FULL_TIME","","","HOUSE CLEANING JOB",40.904006958007812,-74.1007308959961,34
"e3f975115dffgb62fg4170g0337g037f735d","PERMANENT","1-2 Years","FULL_TIME","","","Medical receptionist",40.633968353271484,-74.020965576171875,34
"f62fa3b0fc42ga88cg4629gf4f7g1745c665","PERMANENT","No","FULL_TIME","","","Call center agent",40.713569641113281,-74.0127944946289,34
"1d4d6136fb72ga200g440ag7e91g2b373acb","PERMANENT","No","FULL_TIME","","","Register",40.665374755859375,-73.744682312011719,34
"8d38ab448c83gb0e3g4820g34a9geebea577","PERMANENT","No","PART_TIME","MONTH",1200,"Telemarketer",40.713569641113281,-74.0127944946289,34
"c9242f888999ga18eg4610g3f88g923b9780","PERMANENT","No","FULL_TIME","","","Kitchen staff",40.665374755859375,-73.744682312011719,34
"d1669158325dgae31g4edag4448g9019a904","","No","PART_TIME","HOUR",14,"Medical/ Health Care Opportunities",40.654758453369141,-73.671859741210938,34
"131f06c617c2g90e6g4868g8ea1g44498b95","PERMANENT","1-2 Years","FULL_TIME","","","Product development",40.754932403564453,-73.984016418457031,33
"2cf48c96210cgbbc7g4f6ege38bgcffb1e74","PERMANENT","2-3 Years","FULL_TIME","","","Sales account manager",40.754932403564453,-73.984016418457031,33
"3675d8e83acfg913fg4391g06e1g7ddf7497","PERMANENT","1-2 Years","FULL_TIME","","","Leasing agent",40.774826049804688,-73.953010559082031,33
"3d163cbe31eag917ag4a71g02b4g255ab85f","","No","NONE","","","Bartender",40.721263885498047,-73.993354797363281,33
"7547851a3c9fg94a4g45d4g468egd66d050b","PERMANENT","2-3 Years","FULL_TIME","","","Office manager administrator",40.737289428710938,-73.997383117675781,33
